八 bā 	 ハチ 
百 bǎi 	 ヒャク ハク 
不 bù 	 フ ブ 
白 bái 	 ハク ビャク 
卜 bǔ 	 ホク ボク 
半 bàn 	 ハン 
巴 bā 	 ハ 
本 běn 	 ホン 
爸 bà 	 ハ バ ヘ 
闭 bì 	 ヘイ 
办 bàn 	 ベン ヘン 
别 bié biè 	 ベツ ベチ 
边 biān 	 ヘン 
贝 bèi 	 バイ 
把 bà bǎ 	 ハ 
伴 pàn bàn 	 ハン バン 
北 běi 	 ホク ハイ 
帮 bāng 	 ホウ 
变 biàn 	 ヘン 
波 bō 	 ハ 
班 bān 	 ハン 
包 bāo 	 ホウ 
旁 bàng páng 	 ホウ ボウ 
抱 bào 	 ホウ 
补 bǔ 	 ホ フ 
拔 bá 	 バツ 
比 bǐ 	 ヒ ビ 
表 biǎo 	 ヒョウ 
背 bèi bēi 	 ハイ 
板 bǎn 	 ハン バン 
傍 bàng 	 ボウ ホウ 
笔 bǐ 	 ヒツ 
布 bù 	 フ ホ 
饱 bǎo 	 ホウ 
病 bìng 	 ビョウ ヘイ 
保 bǎo 	 ホ ホウ 
蹦 bèng 	 ホウ 
被 bèi pī 	 ヒ 
杯 bēi 	 ハイ 
必 bì 	 ヒツ 
扮 bàn 	 ハン フン 
柏 bò bó bǎi 	 ハク ヒャク ビャク 
便 biàn pián 	 ビン ベン ヘン 
泊 bó pō 	 ハク 
刨 bào páo 	 ホウ 
宝 bǎo 	 ホウ 
报 bào 	 ホウ フ 
膊 bó 	 ハク 
叭 bà bā pā 	 ハ ハツ 
冰 bīng 	 ヒョウ 
膀 bàng bǎng páng pāng 	 ホウ ボウ 
坝 bà 	 ハイ ハ ヘ 
瓣 bàn 	 ベン 
辫 biàn 	 ヘン ベン 
步 bù 	 ホ ブ フ 
摆 bǎi 	 ハイ 
备 bèi 	 リュウ ヒ ビ 
秘 mì bì 	 ヒ 
倍 bèi 	 バイ ハイ 
遍 biàn 	 ヘン 
奔 bèn bēn 	 ホン 
菠 bō 	 ハ ホウ 
播 bō 	 ハ バン 
拜 bài 	 ハイ 
部 bù 	 ブ ホ ホウ 
辈 bèi 	 ハイ 
般 pán bō bān 	 ハン 
炮 pào páo bāo 	 ホウ 
兵 bīng 	 ヘイ ヒョウ 
斑 bān 	 ハン 
拨 bō 	 ハチ バチ ハツ 
壁 bì 	 ヘキ 
搬 bān 	 ハン 
宾 bīn 	 ヒン 
泊 bó pō 	 ハク 
编 biān 	 ヘン 
悲 bēi 	 ヒ 
鼻 bí 	 ビ 
奔 bèn bēn 	 ホン 
爆 bào 	 バク ハク ホウ 
暴 bào pù 	 ボウ バク 
臂 bì 	 ヒ 
绑 bǎng 	 ホウ 
避 bì 	 ヒ 
倍 bèi 	 バイ ハイ 
瀑 bào pù 	 バク ボウ 
薄 bò bó báo 	 ハク 
崩 bēng 	 ホウ 
柄 bǐng 	 ヘイ 
搏 bó 	 ハク 
堡 pù bǔ bǎo 	 ホ ホウ 
趵 bào bō 	 ハク ホウ 
扁 biǎn piān 	 ヘン 
魄 bó pò tuò 	 タク ハク 
哺 bǔ 	 ホ 
搏 bó 	 ハク 
辟 pì bì 	 ヒ ヘキ 
惫 bèi 	 ハイ ヘイ 
邦 bāng 	 ホウ 
逼 bī 	 ヒツ ヒョク 
扮 bàn 	 ハン フン 
般 pán bō bān 	 ハン 
鬓 bìn 	 ヒン ビン 
屏 píng bīng bǐng 	 ビョウ ヘイ 
鞭 biān 	 ヘン ベン 
杯 bēi 	 ハイ 
拜 bài 	 ハイ 
蔽 bì 	 ヘイ 
卜 bǔ 	 ホク ボク 
勃 bó 	 ボツ ホツ 
陌 bǎi mò 	 ハク バク 
秉 bǐng 	 ヘイ 
膑 bìn 	 ヒン 
豹 bào 	 ヒョウ 
狈 bèi 	 バイ 
榜 bàng bǎng 	 ホウ ボウ 
憋 biē 	 ヘツ 
辈 bèi 	 ハイ 
剥 bāo bō 	 ハク ホク 
礴 bó 	 ハク 
版 bǎn 	 ハン 
怖 bù 	 フ 
标 biāo 	 ヒョウ 
滨 bīn 	 ヒン 
璧 bì 	 ヘキ 
