大 dài dà 	 タイ ダイ タ ダ 
电 diàn 	 デン テン 
鸟 niǎo diǎo 	 チョウ 
东 dōng 	 トウ 
丁 dīng zhēng 	 チョウ テイ トウ 
冬 dōng 	 トウ 
的 de,dí dì 	 テキ 
多 duō 	 タ 
定 dìng 	 ジョウ テイ 
队 duì 	 タイ ツイ 
朵 duǒ 	 タ ダ 
得 de,dé děi 	 トク 
石 dàn shí 	 シャク セキ コク ジャク 
到 dào 	 トウ 
都 dōu dū 	 ツ ト 
道 dào 	 ドウ トウ 
地 dì 	 ジ チ 
短 duǎn 	 タン 
淡 dàn 	 タン 
对 duì 	 タイ 
带 dài 	 タイ 
动 dòng 	 ドウ トウ 
灯 dēng 	 トウ チョウ チン テイ ドン 
豆 dòu 	 ズ トウ 
弹 dàn tán 	 ダン 
打 dá dǎ 	 ダ チョウ テイ 
答 dá dā 	 トウ 
独 dú 	 ドク トク 
但 dàn 	 タン ダン 
当 dàng dāng 	 トウ 
第 dì 	 ダイ テイ 
读 dòu dú 	 トウ トク ドク 
掉 diào 	 チョウ トウ 
洞 dòng 	 ドウ トウ 
倒 dào dǎo 	 トウ 
代 dài 	 タイ ダイ 
冻 dòng 	 トウ 
躲 duǒ 	 タ 
店 diàn 	 テン 
弟 dì 	 ダイ デ テイ 
杜 dù 	 ズ ト 
滴 dī 	 テキ 
岛 dǎo 	 トウ 
搭 dā 	 トウ 
钉 dìng dīng 	 チョウ テイ 
夺 duó 	 ダツ タツ 
度 dù duó 	 ド タク ト 
单 shàn dān chán 	 タン ゼン 
提 dī tí 	 テイ ダイ チョウ 
刀 dāo 	 トウ 
丹 dān 	 タン 
底 dǐ 	 テイ 
导 dǎo 	 ドウ 
甸 diàn 	 テン デン 
荡 dàng 	 トウ 
蛋 dàn 	 タン 
斗 dòu dǒu 	 ト トウ 
戴 dài 	 タイ 
蝶 dié 	 チョウ 
钓 diào 	 チョウ 
顶 dǐng 	 チョウ テイ 
低 dī 	 テイ 
抖 dǒu 	 ト トウ 
袋 dài 	 タイ テイ 
待 dài dāi 	 タイ 
调 zhōu tiáo diào 	 チョウ 
等 děng 	 トウ 
断 duàn 	 ダン 
挡 dàng dǎng 	 トウ 
盾 dùn 	 ジュン 
敌 dí 	 カツ ゲチ 
懂 dǒng 	 トウ 
堵 dǔ 	 ト 
担 dàn dān 	 タン ケツ 
端 duān 	 タン 
荡 dàng 	 トウ 
叮 dīng 	 テイ 
呆 dāi 	 タイ ホウ ボウ 
登 dēng 	 ト トウ 
党 dǎng 	 トウ 
蹲 cún dūn 	 シュン ソン 
叠 dié 	 ジョウ チョウ 
盗 dào 	 トウ 
铛 chēng dāng 	 ソウ トウ 
待 dài dāi 	 タイ 
雕 diāo 	 チョウ 
段 duàn 	 ダン タン 
凳 dèng 	 トウ 
叨 tāo dāo 	 トウ 
帝 dì 	 テイ タイ 
殿 diàn 	 テン デン 
堤 dī 	 テイ 
踮 diǎn 	 テン 
跌 diē 	 テツ 
胆 dǎn 	 タン トウ 
递 dì 	 テイ 
垫 diàn 	 ジョウ テン チョウ 
抵 dǐ 	 テイ シ 
镀 dù 	 ト 
耽 dān 	 タン 
悼 dào 	 トウ 
捣 dǎo 	 トウ 
稻 dào 	 トウ 
吨 dūn 	 トン ドン 
逗 dòu 	 ズ トウ 
逮 dài dǎi 	 タイ テイ 
旦 dàn 	 タン ダン 
锻 duàn 	 タン 
瞪 dèng 	 トウ 
渡 dù 	 ト 
掸 dǎn shàn 	 タン 
典 diǎn 	 テン 
刁 diāo 	 チョウ 
笛 dí 	 テキ ジャク 
诞 dàn 	 タン 
睹 dǔ 	 ト 
碟 dié 	 セツ チョウ 
迪 dí 	 テキ 
甸 diàn 	 テン デン 
爹 diē 	 タ ダ チャ テ 
妒 dù 	 ト ツ 
督 dū 	 トク 
兜 dōu 	 ト トウ 
鼎 dǐng 	 テイ 
盾 dùn 	 ジュン 
