飞 fēi 	 ヒ 
风 fēng fěng fèng 	 フウ フ 
方 fāng 	 ホウ 
父 fù fǔ 	 フ ブ ホ 
放 fàng 	 ホウ 
房 fáng 	 ボウ ホウ 
法 fǎ 	 ホウ ハッ ホッ 
非 fēi 	 ヒ 
分 fèn fēn 	 ブ フン ブン 
发 fèi fā fà 	 ハツ ホツ 
丰 fēng 	 フウ ホウ ボウ 
纷 fēn 	 フン 
枫 fēng 	 フウ 
服 fú fù 	 フク 
夫 fú fū 	 フ フウ ブ 
福 fú 	 フク 
富 fù 	 フ フウ 
份 fèn 	 ヒン フン 
粉 fěn 	 フン 
浮 fú 	 フ ブ フウ 
纺 fǎng 	 ボウ ホウ 
锋 fēng 	 ホウ 
芬 fēn 	 フン 
芳 fāng 	 ホウ 
凤 fèng 	 ホウ 
府 fǔ 	 フ 
封 fēng 	 フウ ホウ 
肥 féi 	 ヒ 
负 fù 	 フ ブ フウ 
峰 fēng 	 ホウ フ 
奋 fèn 	 コウ ホン 
脯 fǔ pú 	 フ ホ 
逢 féng 	 ホウ 
坊 fáng fāng 	 ボウ ボッ ホウ 
访 fǎng 	 ホウ 
肤 fū 	 フ 
帆 fān 	 ハン 
斧 fǔ 	 フ 
幅 fú 	 フク 
腹 fù 	 フク 
泛 fàn 	 ハン ホウ 
腐 fǔ 	 フ 
仿 fǎng páng 	 ホウ 
否 fǒu pǐ 	 ヒ フ 
扶 fú 	 フ 
俯 fǔ 	 フ 
伏 fú 	 フク ブク 
缝 féng fèng 	 ホウ 
抚 fǔ 	 ブ 
沸 fèi 	 フツ ヒ 
拂 fú 	 フツ ヒツ 
犯 fàn 	 ハン ボン 
付 fù 	 フ 
乏 fá 	 ボウ ホウ 
烦 fán 	 ハン ボン 
吩 fēn 	 フン 
咐 fù 	 フ ホ 
凡 fán 	 ボン ハン 
奉 fèng 	 ブ ホウ 
帆 fān 	 ハン 
繁 fán pó 	 ハン 
访 fǎng 	 ホウ 
辅 fǔ 	 フ ホ 
范 fàn 	 ハン 
匪 fěi 	 ヒ 
缚 fù 	 バク ハク 
肺 fèi 	 ハイ 
符 fú 	 フ 
番 pān fān 	 バン ハ ハン 
讽 fěng 	 フウ 
覆 fù 	 フク フ フウ 
疯 fēng 	 フウ 
赴 fù 	 フ 
罚 fá 	 バチ バツ ハツ 
伐 fá 	 バツ ハツ 
焚 fén 	 フン 
翡 fěi 	 ヒ 
筏 fá 	 ハツ バツ 
肤 fū 	 フ 
阀 fá 	 バツ ハツ 
