九 jiǔ 	 キュウ ク 
见 xiàn jiàn 	 ケン ゲン 
车 chē jū 	 シャ 
巾 jīn 	 キン 
己 jǐ 	 コ キ 
几 jǐ jī 	 キ 
今 jīn 	 コン キン 
齐 jì qí 	 セイ サイ シ 
节 jié jiē 	 セツ セチ 
家 gū jiā 	 カ ケ 
净 jìng 	 ソウ ショウ 
级 jí 	 キュウ 
机 jī 	 キ 
借 jiè 	 シャク シャ 
姐 jiě 	 シャ ソ 
叫 jiào 	 キョウ 
军 jūn 	 グン クン 
井 jǐng 	 ショウ セイ 
进 jìn 	 シン 
给 gěi jǐ 	 キュウ 
间 jiàn jiān 	 カン ケン 
江 jiāng 	 コウ 
就 jiù 	 シュウ ジュ 
急 jí 	 キュウ 
金 jīn 	 キン コン 
尽 jìn jǐn 	 ジン 
其 jī qí 	 キ 
巨 jù 	 キョ コ 
甲 jiá 	 カン コウ 
经 jìng jīng 	 ケイ キョウ キン 
记 jì 	 キ 
校 xiào jiào 	 コウ キョウ 
教 jiào jiāo 	 キョウ 
及 jí 	 キュウ 
计 jì 	 ケイ 
加 jiā 	 カ 
洁 jié 	 キツ キチ コウ 
交 jiāo 	 コウ 
京 jīng 	 キョウ ケイ キン 
讲 jiǎng 	 コウ 
接 jié jiē 	 セツ ショウ 
惊 jīng 	 リョウ 
奇 jī qí 	 キ 
际 jì 	 サイ 
浅 jiān qiǎn 	 セン 
极 jí 	 キョウ 
斤 jīn 	 キン 
景 jǐng 	 ケイ エイ 
句 gōu jù 	 ク コウ 
饥 jī 	 キ 
角 jiǎo jué 	 カク ロク 
鸡 jī 	 ケイ 
觉 jiào jué 	 カク コウ 
睛 jīng 	 セイ 
久 jiǔ 	 キュウ ク 
捡 jiǎn 	 ケン レン 
井 jǐng 	 ショウ セイ 
舰 jiàn 	 チン 
件 jiàn 	 ケン 
介 jiè 	 カイ 
技 jì 	 ギ 
解 jiè jiě xiè 	 カイ ゲ 
界 jiè 	 カイ 
浇 jiāo 	 ギョウ 
静 jìng 	 セイ ジョウ 
渐 jiàn jiān 	 ゼン ザン セン 
结 jié jiē 	 ケツ ケイ ケチ 
鹃 juān 	 ケン 
迹 jì 	 セキ シャク 
建 jiàn 	 ケン コン 
季 jì 	 キ 
敬 jìng 	 ケイ キョウ 
脚 jiǎo jué 	 キャク キャ カク 
且 jū qiě 	 ショ 
绝 jué 	 ゼツ ゼチ セツ 
挤 jǐ 	 サイ セイ 
决 jué 	 ケツ 
继 jì 	 ケイ 
骄 jiāo 	 キョウ 
筋 jīn 	 キン 
距 jù 	 キョ 
检 jiǎn 	 ケン 
奖 jiǎng 	 ショウ ソウ 
劲 jìng jìn 	 ケイ 
居 jū 	 キョ キ コ 
郊 jiāo 	 コウ 
基 jī 	 キ 
胶 jiāo 	 コウ 
卷 quán juǎn juàn 	 カン ケン 
纪 jì jǐ 	 キ 
究 jiū 	 キュウ ク 
佳 jiā 	 カ 
精 jīng 	 セイ ショウ 
紧 jǐn 	 キン 
娇 jiāo 	 キョウ 
强 qiǎng qiáng jiàng 	 キョウ 
减 jiǎn 	 ゲン 
镜 jìng 	 キョウ 
简 jiǎn 	 カン ケン 
具 jù 	 グ 
境 jìng 	 キョウ ケイ 
降 jiàng xiáng 	 コウ ゴウ 
肌 jī 	 キ 
举 jǔ 	 キョ 
击 jī 	 ゲキ ケキ 
坚 jiān 	 ケン 
拣 jiǎn 	 カン 
浸 jìn 	 シン 
集 jí 	 シュウ 
架 jià 	 カ 
龟 guī jūn qiū 	 キ キュウ キン 
锯 jù 	 キョ 
阶 jiē 	 カイ 
系 xì jì 	 ケイ 
激 jī 	 ゲキ 
即 jí 	 ソク ショク 
橘 jú 	 キツ 
警 jǐng 	 ケイ キョウ 
局 jú 	 キョク 
肩 jiān 	 ケン 
匠 jiàng 	 ショウ 
既 jì 	 キ 
且 jū qiě 	 ショ 
阶 jiē 	 カイ 
疾 jí 	 シツ 
津 jīn 	 シン 
茄 jiā qié 	 カ 
挤 jǐ 	 サイ セイ 
镜 jìng 	 キョウ 
桨 jiǎng 	 ショウ 
捡 jiǎn 	 ケン レン 
箭 jiàn 	 セン 
戒 jiè 	 カイ 
艰 jiān 	 カン 
驾 jià 	 ガ 
锯 jù 	 キョ 
据 jù jū 	 キョ 
夹 gā jiá jiā 	 キョウ 
即 jí 	 ソク ショク 
集 jí 	 シュウ 
剧 jù 	 ゲキ 
距 jù 	 キョ 
抉 jué 	 ケツ 
践 jiàn 	 セン 
纠 jiū 	 キュウ 
饥 jī 	 キ 
峻 jùn 	 シュン 
酒 jiǔ 	 シュ 
仅 jìn jǐn 	 ショウ 
坚 jiān 	 ケン 
疚 jiù 	 キュウ 
倔 jué juè 	 クツ 
价 jià jie,jiè 	 カイ 
聚 jù 	 ジュ シュウ 
浸 jìn 	 シン 
睫 jié 	 ショウ 
竭 jié 	 ケツ 
菌 jùn jūn 	 キン 
捷 jié 	 ショウ 
杰 jié 	 ケツ 
截 jié 	 セツ 
肌 jī 	 キ 
拘 jū 	 コウ 
嚼 jué jiào jiáo 	 シャク 
检 jiǎn 	 ケン 
矫 jiáo jiǎo 	 キョウ 
骏 jùn 	 シュン スン 
跤 jiāo 	 コウ 
寂 jì 	 ジャク セキ 
晋 jìn 	 シン 
拒 jù 	 キョ 
剂 jì 	 ザイ スイ セイ 
鲸 jīng 	 ゲイ ケイ 
掘 jué 	 クツ 
究 jiū 	 キュウ ク 
俊 jùn 	 シュン 
倦 juàn 	 ケン ゲン 
介 jiè 	 カイ 
疆 jiāng 	 キョウ 
汲 jí 	 キュウ 
键 jiàn 	 ケン 
忌 jì 	 キ 
讥 jī 	 キ 
僵 jiāng 	 キョウ 
钧 jūn 	 キン 
寄 jì 	 キ 
监 jiàn jiān 	 カン ケン 
惧 jù 	 グ ク 
藉 jí jiè 	 シャ セキ 
谨 jǐn 	 キン 
柜 guì jǔ 	 キョ 
揪 jiū 	 シュウ 
吉 jí 	 キチ キツ 
俱 jù 	 ク グ 
舅 jiù 	 キュウ 
绞 jiǎo 	 コウ 
溅 jiàn jiān 	 セン 
桨 jiǎng 	 ショウ 
竣 jùn 	 シュン 
煎 jiān 	 セン 
荆 jīng 	 ケイ 
祭 jì zhài 	 サイ 
