万 mǒ wàn 	 マン バン 
木 mù 	 ボク モク 
无 mó wú 	 ブ ム 
门 mén 	 モン ボン 
目 mù 	 モク ボク 
米 mǐ 	 ベイ マイ メ 
马 mǎ 	 バ マ メ 
毛 máo 	 モウ ボウ 
们 mén 	 モン 
忙 máng 	 ボウ モウ 
母 mǔ 	 ボ ボウ モ 
妈 mā 	 ボ モ 
明 míng 	 ミョウ メイ ミン 
蚂 mā mǎ mà 	 バ 
美 měi 	 ビ ミ 
吗 má mǎ 	 バ 
苗 miáo 	 ビョウ ミョウ 
面 miàn 	 メン ベン 
没 méi mò 	 ボツ モツ 
名 míng 	 ミョウ メイ 
民 mín 	 ミン 
每 měi 	 マイ バイ 
慢 màn 	 マン バン 
免 miǎn wèn 	 メン ブン ベン 
满 mǎn 	 バン マン 
妹 mèi 	 マイ バイ 
猫 máo māo 	 ビョウ ミョウ 
灭 miè 	 メツ ベツ 
棉 mián 	 メン 
冒 mào mò 	 ボウ ボク モウ 
迈 mài 	 バイ マイ 
迷 mí 	 メイ 
摸 mō 	 バク ボ モ 
末 mò 	 マツ バツ 
茂 mào 	 モ ボウ 
密 mì 	 ミツ ビツ 
蜜 mì 	 ミツ ビツ 
漫 màn 	 マン バン 
鸣 míng 	 メイ ミョウ 
埋 mái mān 	 マイ 
谜 mèi mí 	 ベイ 
秘 mì bì 	 ヒ 
命 mìng 	 メイ ミョウ 
磨 mó mò 	 マ バ 
枚 méi 	 マイ バイ 
梦 mèng 	 ム ボウ 
闷 mèn mēn 	 モン 
矛 máo 	 ム ボウ 
免 miǎn wèn 	 メン ブン ベン 
矛 máo 	 ム ボウ 
买 mǎi 	 バイ 
墨 mò 	 ボク モク 
莓 méi 	 バイ マイ 
描 miáo 	 ビョウ 
猛 měng 	 モウ 
庙 miào 	 ビョウ 
煤 méi 	 バイ 
谜 mèi mí 	 ベイ 
亩 mǔ 	 ホ ボウ 
拇 mǔ 	 ボ ボウ 
闷 mèn mēn 	 モン 
茅 máo 	 ボウ 
慕 mù 	 ボ 
孟 mèng 	 ボウ マン モウ 
妙 miào 	 ミョウ ビョウ 
骂 mà 	 バ 
貌 mào 	 ボウ バク 
磨 mó mò 	 マ バ 
勉 miǎn 	 ベン 
瞄 miáo 	 ビョウ 
陌 bǎi mò 	 ハク バク 
盲 máng 	 モウ ボウ 
抹 mǒ mò mā 	 マツ バツ 
蔑 miè 	 ベツ 
幔 màn 	 バン マン 
曼 màn 	 バン マン 
谋 móu 	 ボウ ム 
脉 mài mò 	 バク ミャク 
绵 mián 	 メン ベン 
媒 méi 	 バイ 
渺 miǎo 	 ビョウ 
岷 mín 	 ビン ミン 
馒 mán 	 バン マン 
摩 mā mó 	 マ 
魅 mèi 	 ミ ビ 
敏 mǐn 	 ビン 
藐 miǎo 	 バク ビョウ ミョウ 
霉 méi 	 バイ 
铭 míng 	 メイ ミョウ 
矛 máo 	 ム ボウ 
