鸟 niǎo diǎo 	 チョウ 
牛 niú 	 ギュウ ゴ 
年 nián 	 ネン デン 
你 nǐ 	 ジ ニ 
奶 nǎi 	 ダイ ネ 
呢 ní 	 ジ ニ 
哪 nà nǎ nǎi né něi 	 ダ ナ デツ ネチ 
那 nà nā nè nèi nuó 	 ナ ダ 
念 niàn 	 ネン 
男 nán 	 ダン ナン 
南 nā nán 	 ナン ナ ダン 
您 nín 	 ニン 
宁 zhù nìng níng 	 チョ 
闹 nào 	 トウ ドウ 
拿 ná 	 ダ ナ 
娘 niáng 	 ジョウ ニョウ 
能 néng 	 ノウ ダイ ドウ 
农 nóng 	 ノウ ドウ 
泥 ní nì 	 デイ 
泞 nìng 	 チョ ジョ 
脑 nǎo 	 ノウ ドウ 
耐 nài 	 タイ ダイ ドウ ナイ ノウ 
弄 nòng lòng 	 ロウ 
内 nà nèi 	 ナイ ダイ ドウ ノウ 
嫩 nèn 	 ドン ノン 
纳 nà 	 ノウ トウ ナッ ナ ナン 
难 nán nàn 	 ナン ダ ダン ナ 
恼 nǎo 	 ドウ ノウ 
怒 nù 	 ド ヌ 
闹 nào 	 トウ ドウ 
怒 nù 	 ド ヌ 
纽 niǔ 	 ジュウ チュウ 
凝 níng 	 ギョウ 
奈 nài 	 ナ ダイ ナイ 
耐 nài 	 タイ ダイ ドウ ナイ ノウ 
尼 ní nǐ 	 ニ ジ 
捏 niē 	 デツ ネツ 
扭 niǔ 	 ジョウ 
黏 nián 	 ネン デン 
纳 nà 	 ノウ トウ ナッ ナ ナン 
钮 niǔ 	 ジュウ チュウ 
挪 nuó 	 ダ 
酿 niàng 	 ジョウ 
挠 náo 	 コウ トウ ドウ 
呐 nà nè 	 トツ 
诺 nuò 	 ダク 
乃 nǎi 	 ダイ ナイ 
