平 píng 	 ビョウ ヘイ ヒョウ ヘン 
片 piàn piān 	 ヘン 
皮 pí 	 ヒ 
朋 péng 	 ホウ 
怕 pà 	 ハ ハク 
跑 páo pǎo 	 ホウ 
伴 pàn bàn 	 ハン バン 
苹 píng 	 ヒョウ ヘイ 
怦 pēng 	 ヒョウ ホウ 
旁 bàng páng 	 ホウ ボウ 
匹 pǐ 	 ヒツ ヒキ 
漂 piāo piǎo piào 	 ヒョウ 
贫 pín 	 ビン ヒン 
拍 pāi 	 ハク ヒョウ 
被 bèi pī 	 ヒ 
飘 piāo 	 ヒョウ 
扑 pū 	 ホク ボク 
坡 pō 	 ハ ヒ 
泼 pō 	 ハツ 
骗 piàn 	 ヘン 
便 biàn pián 	 ビン ベン ヘン 
票 piào piāo 	 ヒョウ 
泊 bó pō 	 ハク 
趴 pā 	 ハツ 
刨 bào páo 	 ホウ 
碰 pèng 	 ホウ 
批 pī 	 ヒ 
破 pò 	 ハ 
叭 bà bā pā 	 ハ ハツ 
膀 bàng bǎng páng pāng 	 ホウ ボウ 
坪 píng 	 ヘイ 
爬 pá 	 ハ 
脯 fǔ pú 	 フ ホ 
拼 pīn 	 ホウ 
仆 pú pū 	 フ ホク 
品 pǐn 	 ヒン ホン 
披 pī 	 ヒ 
般 pán bō bān 	 ハン 
炮 pào páo bāo 	 ホウ 
捧 pěng 	 ホウ 
朴 piáo pò pō pǔ 	 ボク ハク 
普 pǔ 	 フ 
瓶 píng 	 ビン ヘイ 
盼 pàn 	 ハン 
蓬 péng 	 ホウ 
排 pái pǎi 	 ハイ 
捧 pěng 	 ホウ 
泡 pào pāo 	 ホウ 
泊 bó pō 	 ハク 
仿 fǎng páng 	 ホウ 
翩 piān 	 ヘン 
否 fǒu pǐ 	 ヒ フ 
碰 pèng 	 ホウ 
暴 bào pù 	 ボウ バク 
配 pèi 	 ハイ 
瀑 bào pù 	 バク ボウ 
抛 pāo 	 ホウ 
堡 pù bǔ bǎo 	 ホ ホウ 
扁 biǎn piān 	 ヘン 
魄 bó pò tuò 	 タク ハク 
庞 páng 	 ホウ ロウ 
凭 píng 	 ヒョウ 
辟 pì bì 	 ヒ ヘキ 
婆 pó 	 バ 
般 pán bō bān 	 ハン 
迫 pǎi pò 	 ハク 
繁 fán pó 	 ハン 
屏 píng bīng bǐng 	 ビョウ ヘイ 
陪 péi 	 バイ 
判 pàn 	 ハン バン ホウ 
朴 piáo pò pō pǔ 	 ボク ハク 
批 pī 	 ヒ 
谱 pǔ 	 フ 
番 pān fān 	 バン ハ ハン 
珀 pò 	 ハク 
澎 péng 	 ホウ 
湃 pài 	 ハイ 
瓢 piáo 	 ヒョウ 
篇 piān 	 ヘン 
脾 pí 	 ヒ 
僻 pì 	 ヘイ ヘキ 
胖 pán pàng 	 ハン 
萍 píng 	 ビョウ ヘイ 
颇 pō 	 ハ 
袍 páo 	 ホウ ボウ 
徘 pái 	 ハイ 
