七 qī 	 シチ シツ 
齐 jì qí 	 セイ サイ シ 
亲 qīn qìng 	 シン ヨウ 
全 quán 	 ゼン セン 
气 qì 	 キ キツ ケ コツ 
去 qù 	 キョ コ 
千 qiān 	 セン 
起 qǐ 	 キ 
前 qián 	 ゼン セン 
桥 qiáo 	 キョウ 
情 qíng 	 ジョウ セイ 
汽 qì 	 キ 
秋 qiū 	 シュウ 
请 qǐng 	 セイ シン ショウ 
球 qiú 	 キュウ 
其 jī qí 	 キ 
区 ōu qū 	 ク オウ 
棋 qí 	 キ ゴ 
琴 qín 	 キン ゴン 
牵 qiān 	 ケン 
青 qīng 	 セイ ショウ 
切 qiè qiē 	 セツ サイ 
旗 qí 	 キ 
庆 qìng 	 ケイ キョウ 
曲 qǔ qū 	 キョク 
奇 jī qí 	 キ 
取 qǔ 	 シュ 
浅 jiān qiǎn 	 セン 
清 qīng 	 セイ ショウ シン 
铅 qiān yán 	 エン 
期 qī 	 キ ゴ 
晴 qíng 	 セイ 
轻 qīng 	 ケイ キン 
群 qún 	 グン 
器 qì 	 キ 
泉 quán 	 セン 
且 jū qiě 	 ショ 
求 qiú 	 キュウ グ 
钱 qián 	 セン ゼン 
壳 ké qiào 	 カク 
欺 qī 	 ギ キ 
雀 què qiāo qiǎo 	 ジャク 
趣 qù cù 	 シュ ソク 
卷 quán juǎn juàn 	 カン ケン 
悄 qiǎo qiāo 	 ショウ 
秦 qín 	 シン 
却 què 	 キャク 
强 qiǎng qiáng jiàng 	 キョウ 
确 què 	 カク 
丘 qiū 	 キュウ 
龟 guī jūn qiū 	 キ キュウ キン 
抢 qiǎng qiāng 	 ショウ ソウ 
谦 qiān 	 ケン 
卡 qiǎ kǎ 	 ソウ ゾウ カ サ 
倾 qīng 	 ケイ 
却 què 	 キャク 
砌 qì qiè 	 サイ セイ 
且 jū qiě 	 ショ 
茄 jiā qié 	 カ 
窃 qiè 	 セツ 
缺 quē 	 ケツ 
庆 qìng 	 ケイ キョウ 
侵 qīn 	 シン 
枪 qiāng 	 ソウ 
仇 chóu qiú 	 キュウ 
漆 qī 	 シツ シチ 
丘 qiū 	 キュウ 
潜 qián 	 セン 
曲 qǔ qū 	 キョク 
瞧 qiáo 	 ショウ 
企 qǐ 	 キ 
启 qǐ 	 ケイ 
乞 qǐ 	 キ キツ コツ 
峭 qiào 	 ショウ 
歉 qiàn 	 ケン 
躯 qū 	 ク 
腔 qiāng 	 クウ コウ 
牵 qiān 	 ケン 
翘 qiáo qiào 	 ギョウ 
渠 qú 	 キョ 
妻 qì qī 	 サイ セイ 
泣 qì 	 キュウ 
拳 quán 	 ケン ゲン 
屈 qū 	 クツ 
弃 qì 	 キ 
钳 qián 	 カン ケン 
俏 qiào 	 ショウ 
券 xuàn quàn 	 ケン 
遣 qiǎn 	 ケン 
凄 qī 	 セイ 
歧 qí 	 キ 
签 qiān 	 セン 
迁 qiān 	 セン 
权 quán 	 ケン ゴン 
蜷 quán 	 ケン 
