土 tǔ 	 ト ド 
天 tiān 	 テン 
头 tóu 	 ズ トウ ト ジュウ 
田 tián 	 デン 
说 yuè tuō shuō shuì 	 セツ ゼイ エツ 
太 tài 	 タ タイ ダイ 
听 tīng 	 キン ギン チョウ テイ 
同 tóng tòng 	 ドウ トウ 
童 tóng 	 ドウ トウ 
她 tā 	 チ ジ シャ タ イ 
他 tā 	 タ 
跳 tiào 	 チョウ トウ 
桃 táo 	 トウ 
条 tiáo 	 ジョウ 
它 tā 	 タ 
弹 dàn tán 	 ダン 
甜 tián 	 テン 
叹 tàn 	 ユウ 
台 tái tāi 	 タイ ダイ イ 
坛 tán 	 タン ダン ドン 
图 tú 	 ズ ト 
挑 tiǎo tiāo 	 チョウ トウ 
吐 tù tǔ 	 ト 
体 tǐ tī 	 タイ テイ 
脱 tuō 	 ダツ タイ タツ 
探 tàn 	 タン 
躺 tǎng 	 トウ 
塔 tǎ 	 トウ 
托 tuō 	 タク 
特 tè 	 トク ドク 
题 tí 	 ダイ テイ 
提 dī tí 	 テイ ダイ チョウ 
涛 tāo 	 トウ 
逃 táo 	 トウ 
铁 tiě 	 テツ 
桶 tǒng 	 トウ 
停 tíng 	 テイ 
梯 tī 	 タイ テイ 
谈 tán 	 ダン タン 
讨 tǎo 	 トウ 
团 tuán 	 シュウ 
铜 tóng 	 ドウ 
突 tū 	 トツ 
推 tuī 	 スイ 
途 tú 	 ト ズ 
堂 táng 	 ドウ トウ 
腿 tuǐ 	 タイ 
调 zhōu tiáo diào 	 チョウ 
坦 tǎn 	 タン 
退 tuì 	 タイ 
陶 yáo táo 	 トウ ヨウ 
投 tóu 	 トウ 
吞 tūn 	 トン ドン 
通 tòng tōng 	 ツウ ツ 
糖 táng 	 トウ 
贴 tiē 	 チョウ テン 
惕 tì 	 テキ 
套 tào 	 トウ 
探 tàn 	 タン 
苔 tái tāi 	 タイ 
厅 tīng 	 チョウ テイ 
脱 tuō 	 ダツ タイ タツ 
贪 tān 	 ドン タン 
亭 tíng 	 テイ チン 
涛 tāo 	 トウ 
腾 téng 	 トウ 
偷 tōu 	 チュウ トウ 
痛 tòng 	 ツウ トウ 
淘 táo 	 トウ 
替 tì 	 タイ テイ 
投 tóu 	 トウ 
叨 tāo dāo 	 トウ 
膛 táng 	 トウ 
啼 tí 	 テイ 
糖 táng 	 トウ 
拖 tuō 	 タ 
掏 tāo 	 トウ 
躺 tǎng 	 トウ 
屯 tún zhūn 	 トン チュン 
魄 bó pò tuò 	 タク ハク 
桶 tǒng 	 トウ 
坦 tǎn 	 タン 
梯 tī 	 タイ テイ 
徒 tú 	 ト ズ 
唐 táng 	 トウ 
统 tǒng 	 トウ 
炭 tàn 	 タン 
摊 tān 	 タン 
蹄 tí 	 テイ 
艇 tǐng 	 テイ 
胎 tāi 	 タイ 
托 tuō 	 タク 
蹋 tà 	 トウ 
痰 tán 	 タン 
添 tiān 	 テン 
恬 tián 	 テン 
昙 tán 	 ヨク 
滔 tāo 	 トウ 
眺 tiào 	 チョウ 
鸵 tuó 	 タ ダ 
椭 tuǒ 	 ダ 
坨 tuó 	 イ タ 
秃 tū 	 トク 
捅 tǒng 	 トウ 
妥 tuǒ 	 ダ タ 
帖 tiē tiě tiè 	 ジョウ チョウ 
筒 tǒng 	 トウ 
汤 shāng tàng tāng 	 トウ ショウ 
涕 tì 	 テイ 
填 tián 	 テン チン 
