下 xià 	 カ ゲ 
见 xiàn jiàn 	 ケン ゲン 
小 xiǎo 	 ショウ 
心 xīn 	 シン 
西 xī 	 サイ セイ スイ 
行 háng hàng héng xíng 	 ギョウ コウ アン 
洗 xǐ xiǎn 	 セン セイ 
写 xiè xiě 	 シャ 
笑 xiào 	 ショウ 
兴 xìng xīng 	 キョウ コウ 
秀 xiù 	 シュウ 
香 xiāng 	 コウ キョウ 
向 xiàng 	 コウ キョウ ショウ 
先 xiān 	 セン 
叶 shè xié yè 	 キョウ 
许 xǔ 	 キョ コ 
吓 hè xià 	 カク カ 
象 xiàng 	 ショウ ゾウ 
像 xiàng 	 ゾウ ショウ 
乡 xiāng 	 キョウ ゴウ 
想 xiǎng 	 ソウ ソ 
虾 há xiā 	 カ ガ 
学 xué 	 ガク 
习 xí 	 シュウ ジュウ 
选 xuǎn 	 セン 
星 xīng 	 セイ ショウ 
雪 xuě 	 セツ 
新 xīn 	 シン 
戏 xì huī hū 	 ギ ゲ 
休 xiū 	 キュウ ク 
息 xī 	 ソク 
校 xiào jiào 	 コウ キョウ 
响 xiǎng 	 キョウ 
细 xì 	 サイ 
夕 xī 	 セキ 
相 xiàng xiāng 	 ソウ ショウ 
信 xìn 	 シン 
吸 xī 	 キュウ 
消 xiāo 	 ショウ 
幸 xìng 	 コウ 
现 xiàn 	 ゲン 
寻 xún 	 ジン 
喜 xǐ 	 キ 
须 xū 	 ス シュ 
溪 xī 	 ケイ 
解 jiè jiě xiè 	 カイ ゲ 
徐 xú 	 ジョ 
宿 sù xiù xiǔ 	 シュク シュウ スク 
谢 xiè 	 シャ 
夏 xià 	 カ ゲ 
省 shěng xǐng 	 ショウ セイ 
杏 xìng 	 アン キョウ 
鲜 xiǎn xiān 	 セン 
雄 xióng 	 ユウ 
显 xiǎn 	 ケン 
斜 xié 	 シャ 
稀 xī 	 キ ケ 
兄 xiōng 	 キョウ ケイ 
续 xù 	 ゾク ショク 
些 xiē 	 サ 
胸 xiōng 	 キョウ 
惜 xī 	 セキ シャク 
希 xī 	 キ ケ 
仙 xiān 	 セン 
醒 xǐng 	 セイ 
修 xiū 	 シュウ シュ 
闲 xián 	 カン 
降 jiàng xiáng 	 コウ ゴウ 
血 xiě 	 ケツ ケチ 
县 xiàn xuán 	 ケン 
形 xíng 	 ギョウ ケイ 
欣 xīn 	 キン ゴン 
线 xiàn 	 セン 
献 xiàn 	 ケン コン 
鞋 xié 	 アイ カイ 
虚 xū 	 キョ コ 
绪 xù 	 ショ チョ 
系 xì jì 	 ケイ 
险 xiǎn 	 ケン 
膝 xī 	 シツ 
悉 xī 	 シツ 
席 xí 	 セキ 
绣 xiù 	 シュウ 
狭 xiá 	 キョウ コウ 
须 xū 	 ス シュ 
效 xiào 	 コウ 
旋 xuán xuàn 	 セン 
弦 xián 	 ゲン 
歇 xiē 	 カツ ケツ 
衅 xìn 	 キン 
牺 xī 	 キ ギ 
训 xùn 	 クン キン 
选 xuǎn 	 セン 
陷 xiàn 	 カン 
匣 xiá 	 コウ 
鞋 xié 	 アイ カイ 
隙 xì 	 ゲキ ケキ 
型 xíng 	 ケイ 
旬 xún 	 シュン ジュン 
械 xiè 	 カイ 
嫌 xián 	 ケン ゲン 
辛 xīn 	 シン 
嗅 xiù 	 キュウ 
销 xiāo 	 ショウ 
协 xié 	 キョウ 
吁 xū yù yū 	 ウ キョ ク 
羡 xiàn 	 イ 
镶 xiāng 	 ショウ ジョウ 
泻 xiè 	 
限 xiàn 	 ゲン 
悬 xuán 	 ケン ケ 
畜 xù chù 	 チク キク 
嘻 xī 	 キ イ 
晰 xī 	 セキ 
唬 hǔ xià 	 ケ ゴウ キョウ キャク カ カク コウ 
券 xuàn quàn 	 ケン 
瞎 xiā 	 カツ 
汹 xiōng 	 キョウ 
循 xún 	 ジュン 
序 xù 	 ジョ 
啸 xiào 	 シツ ショウ 
袭 xí 	 シュウ 
绪 xù 	 ショ チョ 
厦 xià shà 	 カ 
协 xié 	 キョウ 
宣 xuān 	 セン 
徐 xú 	 ジョ 
袖 xiù 	 シュウ 
瑕 xiá 	 カ 
询 xún 	 シュン ジュン 
暇 xiá 	 カ 
屑 xiè 	 セツ 
锈 xiù 	 シュウ 
叙 xù 	 ジョ 
熄 xī 	 ソク 
宪 xiàn 	 キョウ ボウ コン 
刑 xíng 	 ケイ ギョウ 
掀 xiān 	 キン ケン 
