八 bā 	 ハチ 
大 dài dà 	 タイ ダイ タ ダ 
马 mǎ 	 バ マ メ 
巴 bā 	 ハ 
爸 bà 	 ハ バ ヘ 
妈 mā 	 ボ モ 
蚂 mā mǎ mà 	 バ 
她 tā 	 チ ジ シャ タ イ 
他 tā 	 タ 
吗 má mǎ 	 バ 
哪 nà nǎ nǎi né něi 	 ダ ナ デツ ネチ 
怕 pà 	 ハ ハク 
法 fǎ 	 ホウ ハッ ホッ 
那 nà nā nè nèi nuó 	 ナ ダ 
沙 shà shā 	 サ シャ 
虾 há xiā 	 カ ガ 
拉 lā lǎ lá 	 ラ ラツ ロウ 
把 bà bǎ 	 ハ 
南 nā nán 	 ナン ナ ダン 
发 fèi fā fà 	 ハツ ホツ 
它 tā 	 タ 
哈 hā hǎ hà 	 コウ ゴウ ソウ ハ 
打 dá dǎ 	 ダ チョウ テイ 
落 luō luò lào là 	 ラク 
拔 bá 	 バツ 
答 dá dā 	 トウ 
啊 á à ǎ ā 	 ア 
拿 ná 	 ダ ナ 
扎 zā zhá zhā 	 サツ 
塔 tǎ 	 トウ 
洒 sǎ 	 サイ シャ セイ セン ソン 
纱 shā 	 サ シャ 
搭 dā 	 トウ 
眨 zhǎ 	 ソウ 
趴 pā 	 ハツ 
叭 bà bā pā 	 ハ ハツ 
查 chá zhā 	 サ 
坝 bà 	 ハイ ハ ヘ 
察 chá 	 サツ 
爬 pá 	 ハ 
渣 zhā 	 サ 
杂 zá 	 ザツ ゾウ 
插 chā 	 ソウ 
内 nà nèi 	 ナイ ダイ ドウ ノウ 
纳 nà 	 ノウ トウ ナッ ナ ナン 
茶 chá 	 チャ サ 
卡 qiǎ kǎ 	 ソウ ゾウ カ サ 
扎 zā zhá zhā 	 サツ 
哈 hā hǎ hà 	 コウ ゴウ ソウ ハ 
霎 shà 	 ショウ ソウ 
夹 gā jiá jiā 	 キョウ 
轧 gá yà zhá 	 アツ 
乏 fá 	 ボウ ホウ 
榨 zhà 	 サ 
查 chá zhā 	 サ 
杀 shā 	 サツ 
刹 chà shā 	 セツ サツ 
骂 mà 	 バ 
茶 chá 	 チャ サ 
蹋 tà 	 トウ 
蜡 zhà là 	 サ ショ 
抹 mǒ mò mā 	 マツ バツ 
砸 zá 	 ソウ 
辣 là 	 ラツ 
纳 nà 	 ノウ トウ ナッ ナ ナン 
罚 fá 	 バチ バツ ハツ 
杈 chà chā 	 サ 
厦 xià shà 	 カ 
伐 fá 	 バツ ハツ 
筏 fá 	 ハツ バツ 
摩 mā mó 	 マ 
阀 fá 	 バツ ハツ 
拆 chāi cā 	 タク 
岔 chà 	 サ タ 
呐 nà nè 	 トツ 
