百 bǎi 	 ヒャク ハク 
大 dài dà 	 タイ ダイ タ ダ 
开 kāi 	 カイ 
白 bái 	 ハク ビャク 
来 lái lāi 	 ライ 
奶 nǎi 	 ダイ ネ 
太 tài 	 タ タイ ダイ 
才 cái 	 サイ 
哪 nà nǎ nǎi né něi 	 ダ ナ デツ ネチ 
再 zài 	 サ サイ 
海 hǎi 	 カイ 
爱 ài 	 アイ 
孩 hái 	 カイ ガイ 
带 dài 	 タイ 
在 zài 	 ザイ 
色 sè shǎi 	 シキ ショク 
仔 zī zǐ zǎi 	 シ 
台 tái tāi 	 タイ ダイ イ 
还 huán hái 	 カン ゲン 
思 sāi sī 	 シ 
采 cài cǎi 	 サイ 
拍 pāi 	 ハク ヒョウ 
晒 shài 	 サイ 
灾 zāi 	 サイ 
害 hài hé 	 ガイ カイ カツ 
代 dài 	 タイ ダイ 
菜 cài 	 サイ 
迈 mài 	 バイ マイ 
该 gāi 	 ガイ カイ 
摘 zhāi 	 テキ 
柏 bò bó bǎi 	 ハク ヒャク ビャク 
彩 cǎi 	 サイ 
埋 mái mān 	 マイ 
责 zé zhài 	 セキ サイ シャク 
耐 nài 	 タイ ダイ ドウ ナイ ノウ 
戴 dài 	 タイ 
摆 bǎi 	 ハイ 
侧 cè zè zhāi 	 ソク ショク 
袋 dài 	 タイ テイ 
概 gài 	 ガイ カイ 
待 dài dāi 	 タイ 
拜 bài 	 ハイ 
买 mǎi 	 バイ 
猜 cāi 	 サイ 
赛 sài 	 サイ 
苔 tái tāi 	 タイ 
排 pái pǎi 	 ハイ 
呆 dāi 	 タイ ホウ ボウ 
挨 ái āi 	 アイ 
待 dài dāi 	 タイ 
概 gài 	 ガイ カイ 
哀 āi 	 アイ 
择 zé zhái 	 タク 
改 gǎi 	 カイ 
奈 nài 	 ナ ダイ ナイ 
责 zé zhài 	 セキ サイ シャク 
溉 gài 	 ガイ カイ 
矮 ǎi 	 アイ ワイ 
凯 kǎi 	 カイ ガイ 
迫 pǎi pò 	 ハク 
咳 ké hāi hái 	 カイ ガイ 
耐 nài 	 タイ ダイ ドウ ナイ ノウ 
腮 sāi 	 サイ 
拜 bài 	 ハイ 
胎 tāi 	 タイ 
宅 zhái 	 タク 
逮 dài dǎi 	 タイ テイ 
塞 sè sāi sài 	 サイ ソク 
赖 lái 	 ライ 
陌 bǎi mò 	 ハク バク 
载 zài zǎi 	 サイ 
湃 pài 	 ハイ 
脉 mài mò 	 バク ミャク 
埃 āi 	 アイ 
慨 kǎi 	 ガイ カイ 
唉 ài āi 	 アイ キ カイ イ 
拆 chāi cā 	 タク 
蔡 cài 	 サイ サツ 
寨 zhài 	 サイ 
祭 jì zhài 	 サイ 
乃 nǎi 	 ダイ ナイ 
徘 pái 	 ハイ 
哎 āi 	 ガイ アイ 
