三 sān 	 サン 
山 shān 	 サン セン 
广 ān guǎng 	 ゲン 
半 bàn 	 ハン 
看 kàn kān 	 カン 
干 gàn gān 	 カン 
赶 gǎn 	 カン ケン 
石 dàn shí 	 シャク セキ コク ジャク 
办 bàn 	 ベン ヘン 
男 nán 	 ダン ナン 
淡 dàn 	 タン 
伴 pàn bàn 	 ハン バン 
南 nā nán 	 ナン ナ ダン 
兰 lán 	 ラン 
安 ān 	 アン 
站 zhàn 	 タン 
弹 dàn tán 	 ダン 
班 bān 	 ハン 
叹 tàn 	 ユウ 
坛 tán 	 タン ダン ドン 
慢 màn 	 マン バン 
汗 hán hàn 	 カン 
满 mǎn 	 バン マン 
板 bǎn 	 ハン バン 
但 dàn 	 タン ダン 
厂 ān chǎng 	 カン 
产 chǎn 	 サン 
探 tàn 	 タン 
喊 hǎn 	 カン 
然 rán 	 ゼン ネン 
展 zhǎn 	 テン 
扮 bàn 	 ハン フン 
单 shàn dān chán 	 タン ゼン 
漫 màn 	 マン バン 
丹 dān 	 タン 
含 hán hàn 	 ガン カン ゴン 
杆 gǎn gān 	 カン 
蝉 chán 	 セン ゼン 
埋 mái mān 	 マイ 
盏 zhǎn 	 サン 
谈 tán 	 ダン タン 
蛋 dàn 	 タン 
染 rǎn 	 セン ゼン 
寒 hán 	 カン 
瓣 bàn 	 ベン 
咱 zán 	 サツ サ サチ シャ 
散 sàn sǎn 	 サン 
敢 gǎn 	 カン 
闪 shǎn 	 セン 
扇 shàn shān 	 セン 
参 cān cēn sān shēn 	 サン シン 
栏 lán 	 ラン 
帆 fān 	 ハン 
蓝 lán 	 ラン 
懒 lǎn 	 ラン 
般 pán bō bān 	 ハン 
坦 tǎn 	 タン 
战 zhàn 	 セン 
难 nán nàn 	 ナン ダ ダン ナ 
感 gǎn hàn 	 カン 
担 dàn dān 	 タン ケツ 
盼 pàn 	 ハン 
斑 bān 	 ハン 
探 tàn 	 タン 
搬 bān 	 ハン 
灿 càn 	 サン 
烂 làn 	 ラン 
秆 gǎn 	 カン 
衫 shān 	 サン 
泛 fàn 	 ハン ホウ 
贪 tān 	 ドン タン 
惨 cǎn 	 サン ザン 
占 zhàn zhān 	 セン 
含 hán hàn 	 ガン カン ゴン 
栏 lán 	 ラン 
铲 chǎn 	 サン 
犯 fàn 	 ハン ボン 
俺 ǎn 	 エン 
坦 tǎn 	 タン 
览 lǎn 	 ラン 
胆 dǎn 	 タン トウ 
扮 bàn 	 ハン フン 
旱 hàn 	 カン 
烦 fán 	 ハン ボン 
般 pán bō bān 	 ハン 
凡 fán 	 ボン ハン 
帆 fān 	 ハン 
繁 fán pó 	 ハン 
炭 tàn 	 タン 
范 fàn 	 ハン 
燃 rán 	 ネン ゼン 
耽 dān 	 タン 
餐 cān 	 サン 
摊 tān 	 タン 
暂 zàn 	 ザン 
斩 zhǎn 	 ザン サン 
堪 kān 	 カン タン 
残 cán 	 ザン 
判 pàn 	 ハン バン ホウ 
掺 shān shǎn chān càn 	 サン 
痰 tán 	 タン 
沾 zhān 	 セン チョウ テン 
旦 dàn 	 タン ダン 
番 pān fān 	 バン ハ ハン 
昙 tán 	 ヨク 
幔 màn 	 バン マン 
缆 lǎn 	 ラン 
掸 dǎn shàn 	 タン 
曼 màn 	 バン マン 
瞻 zhān 	 セン 
澜 lán 	 ラン 
馋 chán 	 サン 
诞 dàn 	 タン 
滥 làn 	 ラン 
版 bǎn 	 ハン 
馒 mán 	 バン マン 
胖 pán pàng 	 ハン 
湛 zhàn 	 タン チン 
