上 shàng shǎng 	 ジョウ ショウ 
长 cháng zhǎng 	 チョウ ジョウ 
方 fāng 	 ホウ 
行 háng hàng héng xíng 	 ギョウ コウ アン 
忙 máng 	 ボウ モウ 
放 fàng 	 ホウ 
唱 chàng 	 ショウ 
房 fáng 	 ボウ ホウ 
让 ràng 	 ジョウ 
常 cháng 	 ジョウ 
帮 bāng 	 ホウ 
刚 gāng 	 ゴウ コウ 
浪 làng 	 ロウ ラン 
钢 gàng gāng 	 コウ 
旁 bàng páng 	 ホウ ボウ 
伤 shāng 	 ショウ 
傍 bàng 	 ボウ ホウ 
当 dàng dāng 	 トウ 
张 zhàng zhāng 	 チョウ 
场 cháng chǎng 	 ジョウ 
航 háng 	 コウ 
厂 ān chǎng 	 カン 
纺 fǎng 	 ボウ ホウ 
冈 gāng 	 モウ 
躺 tǎng 	 トウ 
芳 fāng 	 ホウ 
朗 lǎng 	 ロウ 
商 shāng 	 ショウ 
荡 dàng 	 トウ 
膀 bàng bǎng páng pāng 	 ホウ ボウ 
掌 zhǎng 	 ショウ 
苍 cāng 	 ソウ 
仰 áng yǎng 	 ギョウ コウ ゴウ 
藏 cáng zàng 	 ゾウ ソウ 
丧 sàng sāng 	 ソウ 
坊 fáng fāng 	 ボウ ボッ ホウ 
堂 táng 	 ドウ トウ 
访 fǎng 	 ホウ 
丈 zhàng 	 ジョウ 
赏 shǎng 	 ショウ 
挡 dàng dǎng 	 トウ 
糖 táng 	 トウ 
嚷 rǎng rāng 	 ジョウ 
荡 dàng 	 トウ 
桑 sāng 	 ソウ 
晌 shǎng 	 ショウ 
党 dǎng 	 トウ 
敞 chǎng 	 ショウ 
胀 zhàng 	 チョウ 
仿 fǎng páng 	 ホウ 
尝 cháng 	 ショウ ジョウ 
铛 chēng dāng 	 ソウ トウ 
藏 cáng zàng 	 ゾウ ソウ 
抗 kàng 	 コウ 
嗓 sǎng 	 ソウ 
膛 táng 	 トウ 
廊 láng 	 ロウ 
丈 zhàng 	 ジョウ 
糖 táng 	 トウ 
尚 shàng 	 ショウ 
舱 cāng 	 ソウ 
绑 bǎng 	 ホウ 
涨 zhàng zhǎng 	 チョウ 
丧 sàng sāng 	 ソウ 
躺 tǎng 	 トウ 
缸 gāng 	 コウ 
庞 páng 	 ホウ ロウ 
港 gǎng 	 コウ 
邦 bāng 	 ホウ 
唐 táng 	 トウ 
钢 gàng gāng 	 コウ 
访 fǎng 	 ホウ 
杖 zhàng 	 ジョウ 
航 háng 	 コウ 
盲 máng 	 モウ ボウ 
榜 bàng bǎng 	 ホウ ボウ 
障 zhàng 	 ショウ 
偿 cháng 	 ショウ 
慷 kāng 	 コウ 
炕 hāng kàng 	 コウ 
沧 cāng 	 ソウ 
汤 shāng tàng tāng 	 トウ ショウ 
胖 pán pàng 	 ハン 
葬 zàng 	 ソウ 
扛 gāng káng 	 コウ 
帐 zhàng 	 チョウ 
昌 chāng 	 ショウ 
