禾 hé 	 カ 
个 gè gě 	 カ コ 
车 chē jū 	 シャ 
尺 chě chǐ 	 シャク セキ 
合 gě hé 	 カッ ガッ ゴウ コウ 
和 huò huó huo,hú hè hé 	 ワ オ カ 
叶 shè xié yè 	 キョウ 
河 hé 	 カ 
哪 nà nǎ nǎi né něi 	 ダ ナ デツ ネチ 
可 kè kě 	 カ コク 
那 nà nā nè nèi nuó 	 ナ ダ 
吓 hè xià 	 カク カ 
这 zhèi zhè 	 シャ 
乐 yuè lè 	 ガク ラク ギョウ ゴウ 
热 rè 	 ネツ 
各 gè gě 	 カク 
色 sè shǎi 	 シキ ショク 
歌 gē 	 カ 
拾 shè shí 	 シュウ ジュウ 
棵 kē 	 カ カン 
颗 kē 	 カ 
折 shé zhé zhē 	 セツ シャク 
课 kè 	 カ 
客 kè 	 キャク カク 
何 hé hè 	 カ 
刻 kè 	 コク 
害 hài hé 	 ガイ カイ カツ 
克 kè 	 コク 
科 kē 	 カ 
哥 gē 	 カ 
特 tè 	 トク ドク 
喝 hè hē 	 カツ 
册 cè 	 サツ サク 
胳 gé gē 	 カク 
壳 ké qiào 	 カク 
鹅 é 	 ガ 
责 zé zhài 	 セキ サイ シャク 
者 zhě 	 シャ 
侧 cè zè zhāi 	 ソク ショク 
社 shè 	 シャ ジャ 
测 cè 	 ソク 
设 shè 	 セツ セチ 
舌 shé 	 ゼツ セツ 
隔 gé 	 カク 
合 gě hé 	 カッ ガッ ゴウ コウ 
若 rě ruò 	 ジャク ニャク ジャ ニャ 
阁 gé 	 カク 
折 shé zhé zhē 	 セツ シャク 
择 zé zhái 	 タク 
责 zé zhài 	 セキ サイ シャク 
浙 zhè 	 セツ 
额 é 	 ガク 
克 kè 	 コク 
贺 hè 	 ガ 
则 zé 	 ソク 
哲 zhé 	 テツ 
咳 ké hāi hái 	 カイ ガイ 
勒 lè lei,lēi 	 ロク 
葛 gé gě 	 カツ 
瑟 sè 	 シツ 
核 hé hú 	 カク 
塞 sè sāi sài 	 サイ ソク 
戈 gē 	 カ 
策 cè 	 サク 
遮 zhē 	 シャ 
骼 gé 	 カク 
颌 hé 	 カン コウ 
测 cè 	 ソク 
扯 chě 	 シャ 
撤 chè 	 テツ 
褐 hè 	 カツ 
泽 zé 	 タク 
册 cè 	 サツ サク 
彻 chè 	 テツ 
呐 nà nè 	 トツ 
搁 gé gē 	 カク 
