飞 fēi 	 ヒ 
美 měi 	 ビ ミ 
得 de,dé děi 	 トク 
哪 nà nǎ nǎi né něi 	 ダ ナ デツ ネチ 
谁 shéi shuí 	 スイ 
那 nà nā nè nèi nuó 	 ナ ダ 
这 zhèi zhè 	 シャ 
贝 bèi 	 バイ 
给 gěi jǐ 	 キュウ 
非 fēi 	 ヒ 
没 méi mò 	 ボツ モツ 
北 běi 	 ホク ハイ 
发 fèi fā fà 	 ハツ ホツ 
泪 lèi 	 ルイ 
每 měi 	 マイ バイ 
背 bèi bēi 	 ハイ 
妹 mèi 	 マイ バイ 
被 bèi pī 	 ヒ 
黑 hēi 	 コク 
杯 bēi 	 ハイ 
雷 léi lèi 	 ライ 
肥 féi 	 ヒ 
谜 mèi mí 	 ベイ 
类 lèi 	 ルイ 
备 bèi 	 リュウ ヒ ビ 
倍 bèi 	 バイ ハイ 
枚 méi 	 マイ バイ 
内 nà nèi 	 ナイ ダイ ドウ ノウ 
辈 bèi 	 ハイ 
莓 méi 	 バイ マイ 
类 lèi 	 ルイ 
煤 méi 	 バイ 
悲 bēi 	 ヒ 
谜 mèi mí 	 ベイ 
配 pèi 	 ハイ 
倍 bèi 	 バイ ハイ 
沸 fèi 	 フツ ヒ 
垒 lěi 	 ルイ 
惫 bèi 	 ハイ ヘイ 
陪 péi 	 バイ 
杯 bēi 	 ハイ 
匪 fěi 	 ヒ 
贼 zéi 	 ゾク 
肺 fèi 	 ハイ 
狈 bèi 	 バイ 
辈 bèi 	 ハイ 
翡 fěi 	 ヒ 
媒 méi 	 バイ 
魅 mèi 	 ミ ビ 
擂 léi lèi 	 ライ 
霉 méi 	 バイ 
