人 rén 	 ジン ニン 
门 mén 	 モン ボン 
本 běn 	 ホン 
们 mén 	 モン 
真 zhēn 	 シン 
认 rèn 	 ニン ジン 
很 hěn 	 コン 
跟 gēn 	 コン 
分 fèn fēn 	 ブ フン ブン 
什 shén shí 	 ジュウ 
纷 fēn 	 フン 
伸 shēn 	 シン 
身 shēn 	 シン 
申 shēn 	 シン 
怎 zěn 	 シン ソ ソウ 
根 gēn 	 コン 
份 fèn 	 ヒン フン 
粉 fěn 	 フン 
晨 chén 	 シン 
芬 fēn 	 フン 
恩 ēn 	 オン 
陈 chén 	 チン ジン 
沉 chén 	 チン 
阵 zhèn 	 ジン チン 
针 zhēn 	 シン 
肯 kěn 	 コウ 
珍 zhēn 	 チン 
奋 fèn 	 コウ ホン 
臣 chén 	 シン ジン 
震 zhèn 	 シン 
深 shēn 	 シン 
奔 bèn bēn 	 ホン 
嫩 nèn 	 ドン ノン 
尘 chén 	 ジン 
闷 mèn mēn 	 モン 
参 cān cēn sān shēn 	 サン シン 
神 shén 	 シン ジン 
仁 rén 	 ジン ニ ニン 
衬 chèn 	 シン 
审 shěn 	 シン 
镇 zhèn 	 チン テン 
珍 zhēn 	 チン 
诊 zhěn 	 シン 
甚 shén shèn 	 ジン 
奔 bèn bēn 	 ホン 
痕 hén 	 コン 
闷 mèn mēn 	 モン 
陈 chén 	 チン ジン 
忍 rěn 	 ニン ジン 
吩 fēn 	 フン 
侦 zhēn 	 テイ 
慎 shèn 	 シン 
呻 shēn 	 シン 
渗 shèn 	 シン ソン 
焚 fén 	 フン 
枕 zhěn 	 シン チン 
申 shēn 	 シン 
臣 chén 	 シン ジン 
