风 fēng fěng fèng 	 フウ フ 
升 shēng 	 ショウ 
生 shēng 	 ショウ セイ 
正 zhèng zhēng 	 ショウ セイ 
丁 dīng zhēng 	 チョウ テイ トウ 
朋 péng 	 ホウ 
行 háng hàng héng xíng 	 ギョウ コウ アン 
声 shēng 	 セイ ショウ 
更 gèng gēng 	 コウ 
冷 lěng 	 レイ 
成 chéng 	 セイ ジョウ 
层 céng 	 ソウ 
丰 fēng 	 フウ ホウ ボウ 
灯 dēng 	 トウ チョウ チン テイ ドン 
枫 fēng 	 フウ 
怦 pēng 	 ヒョウ ホウ 
争 zhèng zhēng 	 ソウ 
城 chéng 	 ジョウ セイ 
乘 chéng shèng 	 ジョウ ショウ 
蹦 bèng 	 ホウ 
扔 rēng 	 ジョウ 
能 néng 	 ノウ ダイ ドウ 
锋 fēng 	 ホウ 
胜 shèng 	 セイ 
省 shěng xǐng 	 ショウ セイ 
盛 chéng shèng 	 セイ ジョウ 
凤 fèng 	 ホウ 
仍 réng 	 ジョウ ニョウ 
整 zhěng 	 セイ 
碰 pèng 	 ホウ 
封 fēng 	 フウ ホウ 
峰 fēng 	 ホウ フ 
诚 chéng 	 セイ ジョウ 
坑 kēng 	 コウ 
逢 féng 	 ホウ 
梦 mèng 	 ム ボウ 
证 zhèng 	 ショウ 
等 děng 	 トウ 
横 héng hèng 	 オウ コウ 
捧 pěng 	 ホウ 
绳 shéng 	 ジョウ 
筝 zhēng 	 ショウ ソウ 
耕 gēng 	 コウ 
蓬 péng 	 ホウ 
增 zēng 	 ゾウ ソウ 
捧 pěng 	 ホウ 
登 dēng 	 ト トウ 
猛 měng 	 モウ 
腾 téng 	 トウ 
铛 chēng dāng 	 ソウ トウ 
碰 pèng 	 ホウ 
凳 dèng 	 トウ 
缝 féng fèng 	 ホウ 
程 chéng 	 テイ 
绳 shéng 	 ジョウ 
崩 bēng 	 ホウ 
挣 zhèng zhēng 	 ソウ 
曾 céng zēng 	 ゾ ソウ ソ ゾウ 
拯 zhěng 	 ショウ ジョウ 
愣 lèng 	 リョウ 
呈 chéng 	 テイ 
征 zhēng 	 セイ 
奉 fèng 	 ブ ホウ 
圣 shèng 	 コツ コチ セイ 
孟 mèng 	 ボウ マン モウ 
蒸 zhēng 	 ジョウ 
衡 héng 	 コウ 
哼 hēng 	 コウ キョウ 
承 chéng 	 ショウ 
郑 zhèng 	 ジョウ テイ 
颈 gěng 	 ケイ 
瞪 dèng 	 トウ 
讽 fěng 	 フウ 
政 zhèng zhēng 	 セイ ショウ 
澎 péng 	 ホウ 
疯 fēng 	 フウ 
惩 chéng 	 チョウ 
综 zèng zōng 	 ソウ 
羹 gēng 	 カン コウ 
丞 chéng 	 ショウ ジョウ 
梗 gěng 	 コウ キョウ 
