四 sì 	 シ 
七 qī 	 シチ シツ 
十 shí 	 ジッ ジュウ ジュッ 
日 rì 	 ジツ ニチ 
子 zì zǐ 	 シ ス 
米 mǐ 	 ベイ マイ メ 
尺 chě chǐ 	 シャク セキ 
力 lì 	 リキ リョク 
自 zì 	 シ ジ 
己 jǐ 	 コ キ 
西 xī 	 サイ セイ スイ 
皮 pí 	 ヒ 
里 lǐ 	 リ 
几 jǐ jī 	 キ 
齐 jì qí 	 セイ サイ シ 
你 nǐ 	 ジ ニ 
的 de,dí dì 	 テキ 
知 zhī 	 チ 
洗 xǐ xiǎn 	 セン セイ 
气 qì 	 キ キツ ケ コツ 
李 lǐ 	 リ 
起 qǐ 	 キ 
级 jí 	 キュウ 
诗 shī 	 シ 
闭 bì 	 ヘイ 
立 lì 	 リツ リュウ 
是 shì 	 ゼ シ 
机 jī 	 キ 
时 shí 	 ジ 
呢 ní 	 ジ ニ 
石 dàn shí 	 シャク セキ コク ジャク 
地 dì 	 ジ チ 
师 shī 	 シ 
给 gěi jǐ 	 キュウ 
吃 chī 	 キツ 
习 xí 	 シュウ ジュウ 
汽 qì 	 キ 
只 zhǐ zhī 	 シ 
急 jí 	 キュウ 
什 shén shí 	 ジュウ 
实 shí 	 ジツ 
字 zì 	 ジ シ 
丽 lí lì 	 レイ 
其 jī qí 	 キ 
识 shí zhì 	 シキ シ ショク 
枝 zhī 	 シ 
记 jì 	 キ 
戏 xì huī hū 	 ギ ゲ 
棋 qí 	 キ ゴ 
息 xī 	 ソク 
室 shì 	 シツ 
迟 chí 	 チ 
及 jí 	 キュウ 
仔 zī zǐ zǎi 	 シ 
细 xì 	 サイ 
次 cì 	 ジ シ 
计 jì 	 ケイ 
礼 lǐ 	 レイ ライ 
夕 xī 	 セキ 
旗 qí 	 キ 
帜 zhì 	 シ 
市 shì 	 シ 
匹 pǐ 	 ヒツ ヒキ 
指 zhǐ 	 シ 
奇 jī qí 	 キ 
拾 shè shí 	 シュウ ジュウ 
际 jì 	 サイ 
治 zhì 	 ジ チ 
思 sāi sī 	 シ 
比 bǐ 	 ヒ ビ 
示 shì 	 ジ シ キ ギ 
吸 xī 	 キュウ 
极 jí 	 キョウ 
狸 lí 	 リ 
笔 bǐ 	 ヒツ 
之 zhī 	 シ 
直 zhí 	 ジキ チョク チ 
第 dì 	 ダイ テイ 
期 qī 	 キ ゴ 
饥 jī 	 キ 
始 shǐ 	 シ 
食 sì shí yì 	 ショク ジキ イ シ 
体 tǐ tī 	 タイ テイ 
鸡 jī 	 ケイ 
理 lǐ 	 リ 
失 shī 	 シツ イツ 
纸 zhǐ 	 シ 
至 zhì 	 シ 
粒 lì 	 リュウ 
被 bèi pī 	 ヒ 
喜 xǐ 	 キ 
池 chí 	 チ 
器 qì 	 キ 
必 bì 	 ヒツ 
事 shì 	 ジ ズ 
历 lì 	 レキ リャク 
史 shǐ 	 シ 
植 zhí 	 ショク チ 
技 jì 	 ギ 
织 zhì zhī 	 シキ ショク シ 
溪 xī 	 ケイ 
世 shì 	 セ セイ 
弟 dì 	 ダイ デ テイ 
迷 mí 	 メイ 
迹 jì 	 セキ シャク 
滴 dī 	 テキ 
泥 ní nì 	 デイ 
利 lì 	 リ 
季 jì 	 キ 
密 mì 	 ミツ ビツ 
蜜 mì 	 ミツ ビツ 
题 tí 	 ダイ テイ 
式 shì 	 シキ ショク 
志 zhì 	 シ 
提 dī tí 	 テイ ダイ チョウ 
使 shǐ 	 シ 
丝 sī 	 シ 
质 zhì 	 シツ シチ チ シ 
蜘 zhī 	 チ 
底 dǐ 	 テイ 
稀 xī 	 キ ケ 
挤 jǐ 	 サイ セイ 
批 pī 	 ヒ 
继 jì 	 ケイ 
梯 tī 	 タイ テイ 
此 cǐ 	 シ 
欺 qī 	 ギ キ 
翅 chì 	 シ 
离 lí 	 チ リ 
斥 chì 	 セキ 
谜 mèi mí 	 ベイ 
似 shì sì 	 ジ シ 
惜 xī 	 セキ シャク 
低 dī 	 テイ 
基 jī 	 キ 
秘 mì bì 	 ヒ 
纪 jì jǐ 	 キ 
希 xī 	 キ ケ 
柿 shì 	 シ 
梨 lí 	 リ 
湿 shī 	 シツ 
适 shì 	 カツ 
致 zhì 	 チ 
试 shì 	 シ 
止 zhǐ 	 シ 
肢 zhī 	 シ 
肌 jī 	 キ 
