天 tiān 	 テン 
见 xiàn jiàn 	 ケン ゲン 
田 tián 	 デン 
电 diàn 	 デン テン 
片 piàn piān 	 ヘン 
年 nián 	 ネン デン 
洗 xǐ xiǎn 	 セン セイ 
千 qiān 	 セン 
连 lián 	 レン 
先 xiān 	 セン 
前 qián 	 ゼン セン 
脸 liǎn 	 ケン セン 
面 miàn 	 メン ベン 
念 niàn 	 ネン 
边 biān 	 ヘン 
练 liàn 	 レン 
间 jiàn jiān 	 カン ケン 
变 biàn 	 ヘン 
甜 tián 	 テン 
牵 qiān 	 ケン 
浅 jiān qiǎn 	 セン 
免 miǎn wèn 	 メン ブン ベン 
铅 qiān yán 	 エン 
现 xiàn 	 ゲン 
捡 jiǎn 	 ケン レン 
舰 jiàn 	 チン 
件 jiàn 	 ケン 
棉 mián 	 メン 
店 diàn 	 テン 
渐 jiàn jiān 	 ゼン ザン セン 
建 jiàn 	 ケン コン 
鲜 xiǎn xiān 	 セン 
骗 piàn 	 ヘン 
便 biàn pián 	 ビン ベン ヘン 
显 xiǎn 	 ケン 
钱 qián 	 セン ゼン 
甸 diàn 	 テン デン 
检 jiǎn 	 ケン 
辫 biàn 	 ヘン ベン 
遍 biàn 	 ヘン 
仙 xiān 	 セン 
减 jiǎn 	 ゲン 
闲 xián 	 カン 
简 jiǎn 	 カン ケン 
县 xiàn xuán 	 ケン 
坚 jiān 	 ケン 
拣 jiǎn 	 カン 
线 xiàn 	 セン 
献 xiàn 	 ケン コン 
免 miǎn wèn 	 メン ブン ベン 
谦 qiān 	 ケン 
险 xiǎn 	 ケン 
肩 jiān 	 ケン 
莲 lián 	 レン 
翩 piān 	 ヘン 
编 biān 	 ヘン 
捡 jiǎn 	 ケン レン 
箭 jiàn 	 セン 
弦 xián 	 ゲン 
联 lián 	 レン 
艰 jiān 	 カン 
殿 diàn 	 テン デン 
镰 lián 	 レン 
陷 xiàn 	 カン 
潜 qián 	 セン 
踮 diǎn 	 テン 
践 jiàn 	 セン 
扁 biǎn piān 	 ヘン 
歉 qiàn 	 ケン 
坚 jiān 	 ケン 
嫌 xián 	 ケン ゲン 
牵 qiān 	 ケン 
垫 diàn 	 ジョウ テン チョウ 
羡 xiàn 	 イ 
恋 liàn 	 レン 
检 jiǎn 	 ケン 
限 xiàn 	 ゲン 
鞭 biān 	 ヘン ベン 
勉 miǎn 	 ベン 
钳 qián 	 カン ケン 
添 tiān 	 テン 
炼 liàn 	 レン 
键 jiàn 	 ケン 
恬 tián 	 テン 
潋 liàn 	 レン 
遣 qiǎn 	 ケン 
黏 nián 	 ネン デン 
典 diǎn 	 テン 
监 jiàn jiān 	 カン ケン 
绵 mián 	 メン ベン 
篇 piān 	 ヘン 
甸 diàn 	 テン デン 
签 qiān 	 セン 
宪 xiàn 	 キョウ ボウ コン 
迁 qiān 	 セン 
溅 jiàn jiān 	 セン 
煎 jiān 	 セン 
廉 lián 	 レン 
填 tián 	 テン チン 
掀 xiān 	 キン ケン 
