平 píng 	 ビョウ ヘイ ヒョウ ヘン 
丁 dīng zhēng 	 チョウ テイ トウ 
亲 qīn qìng 	 シン ヨウ 
行 háng hàng héng xíng 	 ギョウ コウ アン 
兴 xìng xīng 	 キョウ コウ 
听 tīng 	 キン ギン チョウ テイ 
定 dìng 	 ジョウ テイ 
明 míng 	 ミョウ メイ ミン 
净 jìng 	 ソウ ショウ 
井 jǐng 	 ショウ セイ 
情 qíng 	 ジョウ セイ 
星 xīng 	 セイ ショウ 
请 qǐng 	 セイ シン ショウ 
名 míng 	 ミョウ メイ 
苹 píng 	 ヒョウ ヘイ 
经 jìng jīng 	 ケイ キョウ キン 
青 qīng 	 セイ ショウ 
宁 zhù nìng níng 	 チョ 
庆 qìng 	 ケイ キョウ 
京 jīng 	 キョウ ケイ キン 
惊 jīng 	 リョウ 
清 qīng 	 セイ ショウ シン 
景 jǐng 	 ケイ エイ 
幸 xìng 	 コウ 
令 lǐng lìng líng 	 レイ リョウ 
病 bìng 	 ビョウ ヘイ 
晴 qíng 	 セイ 
领 lǐng 	 リョウ 
灵 líng 	 レイ リョウ 
睛 jīng 	 セイ 
井 jǐng 	 ショウ セイ 
轻 qīng 	 ケイ キン 
影 yǐng 	 エイ ヨウ 
静 jìng 	 セイ ジョウ 
泞 nìng 	 チョ ジョ 
铃 líng 	 リン レイ 
应 yìng yīng 	 オウ 
省 shěng xǐng 	 ショウ セイ 
杏 xìng 	 アン キョウ 
钉 dìng dīng 	 チョウ テイ 
敬 jìng 	 ケイ キョウ 
另 lìng 	 レイ リョウ 
英 yīng 	 エイ 
鸣 míng 	 メイ ミョウ 
岭 lǐng 	 レイ リョウ 
停 tíng 	 テイ 
玲 líng 	 レイ 
冰 bīng 	 ヒョウ 
坪 píng 	 ヘイ 
劲 jìng jìn 	 ケイ 
顶 dǐng 	 チョウ テイ 
精 jīng 	 セイ ショウ 
命 mìng 	 メイ ミョウ 
醒 xǐng 	 セイ 
镜 jìng 	 キョウ 
迎 yíng 	 ゲイ ギョウ ゴウ 
境 jìng 	 キョウ ケイ 
形 xíng 	 ギョウ ケイ 
映 yìng 	 エイ 
兵 bīng 	 ヘイ ヒョウ 
瓶 píng 	 ビン ヘイ 
鹰 yīng 	 オウ ヨウ 
警 jǐng 	 ケイ キョウ 
倾 qīng 	 ケイ 
叮 dīng 	 テイ 
厅 tīng 	 チョウ テイ 
亭 tíng 	 テイ チン 
萤 yíng 	 ケイ ギョウ エイ ヨウ 
盈 yíng 	 エイ 
镜 jìng 	 キョウ 
庆 qìng 	 ケイ キョウ 
赢 yíng 	 エイ 
营 yíng 	 エイ 
岭 lǐng 	 レイ リョウ 
陵 líng 	 リョウ 
柄 bǐng 	 ヘイ 
型 xíng 	 ケイ 
凝 níng 	 ギョウ 
莺 yīng 	 オウ 
凭 píng 	 ヒョウ 
屏 píng bīng bǐng 	 ビョウ ヘイ 
艇 tǐng 	 テイ 
龄 líng 	 レイ 
鲸 jīng 	 ゲイ ケイ 
秉 bǐng 	 ヘイ 
羚 líng 	 リョウ レイ 
蝇 yíng 	 ヨウ 
莹 yíng 	 エイ 
樱 yīng 	 オウ 
凌 líng 	 リョウ 
刑 xíng 	 ケイ ギョウ 
萍 píng 	 ビョウ ヘイ 
荆 jīng 	 ケイ 
伶 líng 	 リョウ レイ 
鼎 dǐng 	 テイ 
铭 míng 	 メイ ミョウ 
