万 mǒ wàn 	 マン バン 
无 mó wú 	 ブ ム 
没 méi mò 	 ボツ モツ 
波 bō 	 ハ 
冒 mào mò 	 ボウ ボク モウ 
摸 mō 	 バク ボ モ 
末 mò 	 マツ バツ 
坡 pō 	 ハ ヒ 
泼 pō 	 ハツ 
柏 bò bó bǎi 	 ハク ヒャク ビャク 
泊 bó pō 	 ハク 
破 pò 	 ハ 
膊 bó 	 ハク 
磨 mó mò 	 マ バ 
菠 bō 	 ハ ホウ 
播 bō 	 ハ バン 
般 pán bō bān 	 ハン 
朴 piáo pò pō pǔ 	 ボク ハク 
墨 mò 	 ボク モク 
拨 bō 	 ハチ バチ ハツ 
泊 bó pō 	 ハク 
薄 bò bó báo 	 ハク 
搏 bó 	 ハク 
趵 bào bō 	 ハク ホウ 
魄 bó pò tuò 	 タク ハク 
搏 bó 	 ハク 
婆 pó 	 バ 
般 pán bō bān 	 ハン 
迫 pǎi pò 	 ハク 
繁 fán pó 	 ハン 
磨 mó mò 	 マ バ 
朴 piáo pò pō pǔ 	 ボク ハク 
勃 bó 	 ボツ ホツ 
陌 bǎi mò 	 ハク バク 
抹 mǒ mò mā 	 マツ バツ 
珀 pò 	 ハク 
噢 ō 	 ウ ク イク ユウ 
脉 mài mò 	 バク ミャク 
剥 bāo bō 	 ハク ホク 
礴 bó 	 ハク 
摩 mā mó 	 マ 
颇 pō 	 ハ 
