中 zhòng zhōng 	 ジュウ チュウ 
公 gōng 	 コウ ク 
东 dōng 	 トウ 
冬 dōng 	 トウ 
红 gōng hóng 	 コウ ク グ 
总 zǒng 	 ソウ 
同 tóng tòng 	 ドウ トウ 
工 gōng 	 ク コウ 
空 kōng kǒng kòng 	 クウ 
童 tóng 	 ドウ トウ 
送 sòng 	 ソウ 
虫 chóng huǐ 	 チュウ キ 
从 cóng 	 ジュウ ジュ ショウ 
种 zhǒng zhòng chóng 	 チュウ 
共 gōng gǒng gòng 	 キョウ 
动 dòng 	 ドウ トウ 
钟 zhōng 	 ショウ シュ 
功 gōng 	 コウ ク 
容 róng 	 ヨウ 
松 sōng 	 ショウ 
丛 cóng 	 ソウ 
重 chóng zhòng 	 ジュウ チョウ 
冲 chòng chōng 	 チュウ 
洞 dòng 	 ドウ トウ 
农 nóng 	 ノウ ドウ 
冻 dòng 	 トウ 
荣 róng 	 エイ 
轰 hōng 	 ゴウ 
终 zhōng 	 シュウ 
龙 lóng 	 リュウ リョウ リン 
宫 gōng 	 キュウ グウ ク 
哄 hōng hǒng hòng 	 コウ 
虹 hóng 	 コウ 
桶 tǒng 	 トウ 
聪 cōng 	 ソウ 
孔 kǒng 	 コウ ク 
铜 tóng 	 ドウ 
绒 róng 	 ジュウ 
拢 lǒng 	 ロウ 
弄 nòng lòng 	 ロウ 
攻 gōng 	 コウ 
懂 dǒng 	 トウ 
通 tòng tōng 	 ツウ ツ 
涌 chōng yǒng 	 ユウ ヨウ 
融 róng 	 ユウ 
痛 tòng 	 ツウ トウ 
轰 hōng 	 ゴウ 
隆 lóng 	 リュウ 
攻 gōng 	 コウ 
葱 cōng 	 ソウ 
哄 hōng hǒng hòng 	 コウ 
钟 zhōng 	 ショウ シュ 
宋 sòng 	 ソウ 
纵 zòng 	 ジュウ ショウ 
崇 chóng 	 スウ シュウ 
桶 tǒng 	 トウ 
茏 lóng 	 ロウ 
绒 róng 	 ジュウ 
宏 hóng 	 コウ 
统 tǒng 	 トウ 
贡 gòng 	 コウ ク 
充 chōng 	 ジュウ シュウ 
诵 sòng 	 ジュ ショウ 
耸 sǒng 	 ショウ 
拢 lǒng 	 ロウ 
聋 lóng 	 ロウ 
捅 tǒng 	 トウ 
综 zèng zōng 	 ソウ 
茸 róng 	 ジョウ 
筒 tǒng 	 トウ 
鸿 hóng 	 コウ 
控 kòng 	 コウ 
烘 hōng 	 コウ グ キョウ ク 
溶 róng 	 ヨウ 
