口 kǒu 	 ク コウ 
头 tóu 	 ズ トウ ト ジュウ 
手 shǒu 	 シュ ズ 
走 zǒu 	 ソウ 
收 shōu 	 シュウ 
后 hòu 	 コウ ゴ 
都 dōu dū 	 ツ ト 
区 ōu qū 	 ク オウ 
豆 dòu 	 ズ トウ 
首 shǒu 	 シュ 
州 zhōu 	 シュウ ス 
侯 hóu hòu 	 コウ 
猴 hóu 	 コウ 
祝 zhòu zhù 	 シュク シュウ 
句 gōu jù 	 ク コウ 
丑 chǒu 	 チュウ 
周 zhōu 	 シュウ ス 
读 dòu dú 	 トウ トク ドク 
舟 zhōu 	 シュウ シュ 
宙 zhòu 	 チュウ 
抽 chōu 	 チュウ 
沟 gōu 	 コウ ク 
寿 shòu 	 ジュ ス 
够 gòu 	 コウ 
勾 gòu gōu 	 コウ 
厚 hòu 	 コウ 
稠 chóu 	 チュウ チョウ 
狗 gǒu 	 ク コウ 
楼 lóu 	 ロウ 
斗 dòu dǒu 	 ト トウ 
肉 ròu 	 ニク ジク 
抖 dǒu 	 ト トウ 
调 zhōu tiáo diào 	 チョウ 
授 shòu 	 ジュ 
受 shòu 	 ジュ ズ 
投 tóu 	 トウ 
宙 zhòu 	 チュウ 
搂 lǒu lōu 	 ロウ 
昼 zhòu 	 チュウ 
愁 chóu 	 シュウ 
寿 shòu 	 ジュ ス 
揉 róu 	 ジュウ 
否 fǒu pǐ 	 ヒ フ 
偷 tōu 	 チュウ トウ 
投 tóu 	 トウ 
仇 chóu qiú 	 キュウ 
瘦 shòu 	 ソウ シュウ 
酬 chóu 	 シュウ 
绸 chóu 	 チュウ 
偶 ǒu 	 グウ 
兽 shòu 	 ジュウ 
购 gòu 	 コウ 
奏 zòu 	 ソウ 
嗽 sòu 	 ソウ シュウ ソク 
洲 zhōu 	 シュウ 
寇 kòu 	 コウ 
搜 sōu 	 ソウ 
骤 zhòu 	 シュウ 
逗 dòu 	 ズ トウ 
艘 sōu 	 ソウ 
鸥 ōu 	 オウ 
扣 kòu 	 コウ 
漏 lòu 	 ロウ 
谋 móu 	 ボウ ム 
皱 zhòu 	 スウ シュ シュウ 
粥 yù zhōu 	 イク シュク 
兜 dōu 	 ト トウ 
揍 zòu 	 ソウ ス 
构 gòu 	 コウ 
