五 wǔ 	 ゴ 
六 lù liù 	 ロク リク 
木 mù 	 ボク モク 
土 tǔ 	 ト ド 
入 rù 	 ニュウ ジュ ジュウ 
无 mó wú 	 ブ ム 
不 bù 	 フ ブ 
目 mù 	 モク ボク 
出 chū 	 シュツ スイ 
车 chē jū 	 シャ 
卜 bǔ 	 ホク ボク 
足 zú 	 ソク 
书 shū 	 ショ 
绿 lù lǜ 	 リョク ロク 
古 gǔ 	 コ 
处 chǔ chù 	 ショ ソ 
父 fù fǔ 	 フ ブ ホ 
母 mǔ 	 ボ ボウ モ 
家 gū jiā 	 カ ケ 
午 wǔ 	 ゴ 
去 qù 	 キョ コ 
主 zhù zhǔ 	 シュ ス 
许 xǔ 	 キョ コ 
都 dōu dū 	 ツ ト 
竹 zhú 	 チク シツ 
苦 kǔ gǔ 	 ク 
湖 hú 	 コ 
树 shù 	 ジュ 
谷 gǔ yù 	 コク ロク 
区 ōu qū 	 ク オウ 
巨 jù 	 キョ コ 
如 rú 	 ジョ ニョ 
胡 hú 	 ウ コ ゴ 
戏 xì huī hū 	 ギ ゲ 
除 chú 	 ジョ ジ 
宁 zhù nìng níng 	 チョ 
族 zú 	 ゾク 
祖 zǔ 	 ソ 
曲 qǔ qū 	 キョク 
图 tú 	 ズ ト 
互 hù 	 ゴ 
故 gù 	 コ 
补 bǔ 	 ホ フ 
助 chú zhù 	 ジョ 
取 qǔ 	 シュ 
服 fú fù 	 フク 
夫 fú fū 	 フ フウ ブ 
诉 sù 	 ソ 
狐 hú 	 コ 
独 dú 	 ドク トク 
术 shù zhú 	 シュツ ジュツ チュツ 
吐 tù tǔ 	 ト 
注 zhù 	 チュウ 
祝 zhòu zhù 	 シュク シュウ 
福 fú 	 フク 
句 gōu jù 	 ク コウ 
布 bù 	 フ ホ 
路 lù 	 ロ 
富 fù 	 フ フウ 
户 hù 	 コ 
哭 kū 	 コク 
姑 gū 	 コ 
读 dòu dú 	 トウ トク ドク 
护 hù 	 ゴ 
物 wù 	 ブツ モツ 
乎 hū 	 コ 
浮 fú 	 フ ブ フウ 
住 zhù 	 ジュウ チュウ 
须 xū 	 ス シュ 
枯 kū 	 コ 
徐 xú 	 ジョ 
宿 sù xiù xiǔ 	 シュク シュウ スク 
呼 hū 	 コ 
骨 gǔ gū 	 コツ 
股 gǔ 	 コ 
杜 dù 	 ズ ト 
叔 shū 	 シュク 
扑 pū 	 ホク ボク 
吾 wú 	 ゴ 
束 shù 	 ソク 
府 fǔ 	 フ 
度 dù duó 	 ド タク ト 
且 jū qiě 	 ショ 
乌 wù wū 	 ウ オ 
炉 lú 	 ロ 
忽 hū 	 コツ 
吴 wú 	 ゴ 
陆 lù liù 	 リク ロク 
蛛 zhū 	 シュ チュ チュウ 
续 xù 	 ゾク ショク 
负 fù 	 フ ブ フウ 
组 zǔ 	 ソ 
珠 zhū 	 シュ 
数 shù shǔ 	 スウ ス サク シュ ソク 
距 jù 	 キョ 
亡 wáng wú 	 ボウ モウ ブ ム 
蝴 hú 	 コ 
舞 wǔ 	 ブ ム 
粗 cū 	 ソ 
趣 qù cù 	 シュ ソク 
居 jū 	 キョ キ コ 
步 bù 	 ホ ブ フ 
脯 fǔ pú 	 フ ホ 
突 tū 	 トツ 
著 zhù 	 チョ ジャク チャク 
促 cù 	 ソク 
苏 sū 	 ス ソ 
阻 zǔ 	 ソ 
误 wù 	 ゴ 
途 tú 	 ト ズ 
具 jù 	 グ 
仆 pú pū 	 フ ホク 
肤 fū 	 フ 
部 bù 	 ブ ホ ホウ 
举 jǔ 	 キョ 
固 gù 	 コ 
楚 chǔ 	 ソ 
孤 gū 	 コ 
武 wǔ 	 ブ ム 
斧 fǔ 	 フ 
锯 jù 	 キョ 
屋 wū 	 オク 
初 chū 	 ショ ソ 
虚 xū 	 キョ コ 
怒 nù 	 ド ヌ 
朴 piáo pò pō pǔ 	 ボク ハク 
素 sù 	 ソ ス 
绪 xù 	 ショ チョ 
述 shù 	 ジュツ 
普 pǔ 	 フ 
鼓 gǔ 	 コ 
堵 dǔ 	 ト 
橘 jú 	 キツ 
局 jú 	 キョク 
嘱 zhǔ 	 ショク 
幅 fú 	 フク 
肃 sù 	 シュク 
烛 zhú 	 チュウ ジュ 
固 gù 	 コ 
且 jū qiě 	 ショ 
腹 fù 	 フク 
触 chù 	 ショク ソク 
腐 fǔ 	 フ 
簇 cù 	 ソウ ソク ゾク 
须 xū 	 ス シュ 
属 zhǔ shǔ 	 ゾク ショク 
扶 fú 	 フ 
除 chú 	 ジョ ジ 
股 gǔ 	 コ 
顾 gù 	 コ 
株 zhū 	 シュ 
锄 chú 	 ショ ジョ 
楚 chǔ 	 ソ 
驻 zhù 	 チュウ チュ 
鲁 lǔ 	 ロ 
务 wù 	 ム ブ 
俯 fǔ 	 フ 
怒 nù 	 ド ヌ 
暴 bào pù 	 ボウ バク 
鹭 lù 	 ロ 
朱 zhū 	 シュ ス 
亩 mǔ 	 ホ ボウ 
拇 mǔ 	 ボ ボウ 
伏 fú 	 フク ブク 
抚 fǔ 	 ブ 
锯 jù 	 キョ 
庐 lú 	 ロ 
瀑 bào pù 	 バク ボウ 
炉 lú 	 ロ 
据 jù jū 	 キョ 
虎 hù hǔ 	 コ 
拂 fú 	 フツ ヒツ 
曲 qǔ qū 	 キョク 
逐 zhú 	 チク ジク 
促 cù 	 ソク 
殊 shū 	 シュ 
付 fù 	 フ 
剧 jù 	 ゲキ 
距 jù 	 キョ 
堡 pù bǔ bǎo 	 ホ ホウ 
哺 bǔ 	 ホ 
躯 qū 	 ク 
芜 wú 	 ブ ム 
巫 wū 	 フ ブ 
徒 tú 	 ト ズ 
渠 qú 	 キョ 
咐 fù 	 フ ホ 
慕 mù 	 ボ 
聚 jù 	 ジュ シュウ 
估 gù gū 	 コ 
组 zǔ 	 ソ 
苏 sū 	 ス ソ 
素 sù 	 ソ ス 
吁 xū yù yū 	 ウ キョ ク 
呜 wū 	 ウ オ 
蔬 shū 	 ショ ソ 
辅 fǔ 	 フ ホ 
镀 dù 	 ト 
拘 jū 	 コウ 
误 wù 	 ゴ 
悟 wù 	 ゴ 
拄 zhǔ 	 チュ チュウ 
阻 zǔ 	 ソ 
屈 qū 	 クツ 
拒 jù 	 キョ 
租 zū 	 ソ 
厨 chú 	 ズ チュウ 
缚 fù 	 バク ハク 
畜 xù chù 	 チク キク 
朴 piáo pò pō pǔ 	 ボク ハク 
卜 bǔ 	 ホク ボク 
核 hé hú 	 カク 
谱 pǔ 	 フ 
符 fú 	 フ 
唬 hǔ xià 	 ケ ゴウ キョウ キャク カ カク コウ 
录 lù 	 ロク 
序 xù 	 ジョ 
渡 dù 	 ト 
琥 hǔ 	 ク コ 
伍 wǔ 	 ゴ 
酷 kù 	 コク 
秃 tū 	 トク 
塑 sù 	 ソ 
覆 fù 	 フク フ フウ 
赴 fù 	 フ 
绪 xù 	 ショ チョ 
惧 jù 	 グ ク 
徐 xú 	 ジョ 
睹 dǔ 	 ト 
俗 sú 	 ゾク 
柜 guì jǔ 	 キョ 
叙 xù 	 ジョ 
肤 fū 	 フ 
缩 sù suō 	 シュク 
俱 jù 	 ク グ 
怖 bù 	 フ 
诸 zhū 	 ショ 
妒 dù 	 ト ツ 
督 dū 	 トク 
侮 wǔ 	 ブ 
辱 rǔ 	 ジョク ニク 
橱 chú 	 チュウ 
铸 zhù 	 チュウ シュ 
吾 wú 	 ゴ 
