万 mǒ wàn 	 マン バン 
全 quán 	 ゼン セン 
完 wán 	 カン 
关 guān 	 
专 zhuān 	 セン 
短 duǎn 	 タン 
选 xuǎn 	 セン 
玩 wán 	 ガン 
晚 wǎn 	 バン 
观 guàn guān 	 カン 
川 chuān 	 セン 
欢 huān 	 カン 
还 huán hái 	 カン ゲン 
穿 chuān 	 セン 
弯 wān 	 ワン 
串 guàn chuàn 	 カン セン 
船 chuán 	 セン 
唤 huàn 	 カン 
泉 quán 	 セン 
鹃 juān 	 ケン 
环 huán 	 カン 
转 zhuǎn zhuàn zhuái 	 テン 
乱 luàn 	 ラン ロン 
算 suàn 	 サン 
钻 zuàn zuān 	 サン 
团 tuán 	 シュウ 
传 chuán zhuàn 	 デン テン 
卷 quán juǎn juàn 	 カン ケン 
县 xiàn xuán 	 ケン 
断 duàn 	 ダン 
软 ruǎn 	 ナン ゼン ネン 
管 guǎn 	 カン 
宽 kuān 	 カン 
端 duān 	 タン 
贯 guàn 	 カン ワン 
纶 guān lún 	 カン リン 
卵 luǎn 	 ラン 
软 ruǎn 	 ナン ゼン ネン 
传 chuán zhuàn 	 デン テン 
旋 xuán xuàn 	 セン 
窜 cuàn 	 サン ザン 
馆 guǎn 	 カン 
段 duàn 	 ダン タン 
顽 wán 	 ガン 
选 xuǎn 	 セン 
拴 shuān 	 セン 
蜿 wān 	 エン ワン 
砖 zhuān 	 セン 
灌 guàn 	 カン 
拳 quán 	 ケン ゲン 
冠 guàn guān 	 カン 
挽 wǎn 	 バン 
悬 xuán 	 ケン ケ 
倦 juàn 	 ケン ゲン 
锻 duàn 	 タン 
券 xuàn quàn 	 ケン 
宣 xuān 	 セン 
峦 luán 	 ラン 
丸 wán 	 ガン 
权 quán 	 ケン ゴン 
碗 wǎn 	 ワン 
蜷 quán 	 ケン 
